id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
177,Tiny Home in the Heart of the City- ECO FRIENDLY,615,Joe,,Virginia Village,39.69551,-104.92489,Entire home/apt,79,29,120,2022-07-30,1.56,2,364,24,2016-BFN-0004968
360,Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,666,Jennifer & Giovanni,,Highland,39.76758,-105.00316,Entire home/apt,133,29,174,2022-12-01,3.26,3,30,7,2017-BFN-0002177
364,Lodo / RiNo LOFT  via airport train,783,Jason,,Five Points,39.76672,-104.97906,Entire home/apt,179,185,87,2016-04-26,0.52,1,358,0,
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75511,-104.91109,Private room,56,1,674,2022-11-20,4.02,2,246,33,2021-BFN-0000578
592,private,933,Jill,,North Park Hill,39.75481,-104.91106,Private room,54,2,167,2022-05-18,0.99,2,114,2,2021-BFN-0000578
1940,Private Studio near dwntwn: Fast Wi-Fi/Kitchen/W/D,2150,Joanne,,Baker,39.72048568725586,-104.99752044677734,Entire home/apt,109,1,112,2022-10-22,1.55,1,115,35,2018-BFN-0002596
21745,Alexandra's Uptown King Bed Room plus,990,Alexandra,,North Capitol Hill,39.7449,-104.97711,Private room,38,30,235,2022-10-21,1.52,1,321,1,2016-BFN-0008368
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76179,-105.02845,Entire home/apt,90,4,143,2022-12-09,0.95,1,315,36,2020-BFN-0000193
39405,LoHi Secret garden at Mulberry Cottage Monthly,666,Jennifer & Giovanni,,Highland,39.76605,-105.00526,Entire home/apt,110,29,632,2022-07-06,4.19,3,58,5,2020-bfn-0002672
90307,Comfy King Size Room (Park Hill),489506,Doreen,,South Park Hill,39.7495,-104.93362,Private room,90,1,259,2022-10-21,1.93,3,57,32,2021-BFN-0005164
154999,In the Heart of Downtown Denver 209,745200,Susan,,CBD,39.74439,-104.98927,Entire home/apt,80,30,11,2011-12-13,0.08,4,183,0,
192430,treetop view bedroom  east dwntwn ./  4-8 weeks,923646,Kate,,South Park Hill,39.7435,-104.93753,Private room,38,29,129,2022-11-05,0.93,1,173,3,
217996,Highland Snug Down,10730,William,,Highland,39.75895,-105.01036,Private room,81,30,12,2022-03-28,0.13,5,119,1,STR 2017-BFN-0002802
283162,2000 SF-Lodo Club Style Condo,1475137,Lee,,Union Station,39.7515,-104.99473,Entire home/apt,165,30,4,2022-11-24,0.07,1,274,2,
2361919,The Cloisters at Berkeley,5811115,Annette,,Berkeley,39.7796,-105.03859,Entire home/apt,76,30,43,2022-11-15,0.40,5,359,3,
2386289,Sunny Sky Loft in Highlands,184771,Melanie,,West Highland,39.76777,-105.03529,Entire home/apt,150,7,95,2022-05-15,0.94,1,0,1,2017-BFN-0000207
2441900,Remodeled Victorian Condo w Private Garage,12482307,Jeremy,,City Park West,39.74296,-104.96941,Entire home/apt,67,90,4,2022-04-11,0.04,2,152,1,
364585,Washington Park Stunning Townhouse,930851,Nicholas,,Washington Park West,39.69845,-104.98073,Entire home/apt,198,29,144,2021-08-29,1.10,1,338,0,2019-BFN-0002707
2466830,HISTORIC COTTAGE IN BONNIE BRAE,6896064,Greg,,Cory - Merrill,39.69062,-104.9548,Entire home/apt,300,29,11,2021-05-23,0.14,1,364,0,2018-BFN-0005028
370209,Private room in the nest - w/bathroom,269892,Maura,,Baker,39.7172,-104.99767,Private room,80,4,129,2022-12-13,1.42,3,185,22,2017-BFN-0008931
477016,Private room In the heart of Denver,10951,Tricia,,City Park West,39.74348,-104.97089,Private room,55,3,367,2022-12-19,2.87,1,65,22,2019-BFN-0009249
2467260,parkside5280,11000035,Ryan,,City Park,39.74241,-104.95097,Entire home/apt,118,1,549,2022-12-12,5.21,1,48,64,2018-BFN-0008030
2487185,Beautiful!! Just Minutes from Downtown!  Hot Tub!,4706233,Jeffrey,,Athmar Park,39.7038,-105.0116,Entire home/apt,199,3,19,2022-11-01,0.29,3,245,3,2019-BFN-0011743
4992412,"Cozy Cottage in Lo Highlands, 2nd b",5181201,Danno & Rachel,,Highland,39.76822,-105.00249,Private room,73,30,0,,,3,183,0,
504080,Creative Haven in Artist’s Abode,2370964,Andrea,,Clayton,39.76574,-104.95379,Entire home/apt,101,4,78,2022-10-29,0.61,1,57,15,2017-BFN-0001679
5010213,Downtown Denver Union Station LoDo Loft Retreat,4252297,Andrea,,Union Station,39.75351,-105.0037,Entire home/apt,122,29,152,2022-11-04,1.60,1,88,2,
2525011,Off Broadway Carriage House,2533104,Aleka,,Baker,39.71541,-104.98898,Entire home/apt,108,1,54,2022-12-11,0.51,1,15,1,2022-BFN-0012280
2599115,Cozy Eastbridge Home walk to everything!,10128382,Kerry,,Stapleton,39.75778,-104.85861,Entire home/apt,205,3,189,2022-11-28,1.79,1,345,24,2017-BFN-0001227
521072,Downtown and Modern by Hospital.,2563107,Matthew,,City Park West,39.74469,-104.96428,Entire home/apt,132,60,210,2022-11-26,1.65,1,202,4,2016-BFN-0008652
